benchmark,category,ops,gem5_bench_name,hw_cp_dual,hw_none_dual,gem5_art,gem5_noart,art_abs_error_pct,noart_abs_error_pct,hw_speedup,gem5_speedup,speedup_error_pct,speedup_abs_error_pct
alu,Compute,100,alu_v2,107,323,161.8,285.3,51.2,-11.7,3.0,1.8,-41.6,41.6
alu16,Compute,100,alu16_v2,105,167,129.0,163.3,22.9,-2.2,1.6,1.3,-20.4,20.4
art_prefetch,Cache,200,art_prefetch,207,323,219.8,273.4,6.2,-15.4,1.6,1.2,-20.3,20.3
bp_align,Branch,300,bp_align,608,2211,1419.5,2226.4,133.5,0.7,3.6,1.6,-56.9,56.9
bp_alternating,Branch,200,bp_alternating,1207,3420,2322.2,3727.8,92.4,9.0,2.8,1.6,-43.3,43.3
bp_forward,Branch,100,bp_forward_v2,607,1817,1429.5,1712.3,135.5,-5.8,3.0,1.2,-60.0,60.0
bp_long_body,Branch,100,bp_long_body,1105,2213,1519.7,2218.1,37.5,0.2,2.0,1.5,-27.1,27.1
bp_nested,Branch,200,bp_nested_v2,667,2319,1467.0,1955.8,119.9,-15.7,3.5,1.3,-61.7,61.7
bp_tight,Branch,200,bp_tight,605,2013,1419.0,2025.9,134.5,0.6,3.3,1.4,-57.1,57.1
branch,Branch,100,branch,305,1013,715.7,1022.8,134.7,1.0,3.3,1.4,-57.0,57.0
ccm_sram,Memory,100,ccm_sram,112,178,133.6,169.2,19.3,-4.9,1.6,1.3,-20.3,20.3
div,Compute,20,div,247,260,248.9,260.7,0.8,0.3,1.1,1.0,-0.5,0.5
div_short,Compute,20,div_short,107,120,115.9,128.1,8.3,6.7,1.1,1.1,-1.4,1.4
dmb,Compute,50,dmb,75,222,131.8,197.0,75.7,-11.3,3.0,1.5,-49.5,49.5
fpu,Compute,45,fpu,112,196,143.2,199.5,27.9,1.8,1.8,1.4,-20.4,20.4
icache_miss,Cache,4096,icache_miss,5195,6220,4188.0,5082.1,-19.4,-18.3,1.2,1.2,1.4,1.4
ldr_literal,Memory,50,ldr_literal,56,221,71.1,249.2,27.0,12.8,3.9,3.5,-11.2,11.2
load,Memory,50,load,58,91,80.1,100.0,38.1,9.9,1.6,1.2,-20.4,20.4
load_dep,Memory,50,load_dep,108,119,104.1,130.5,-3.6,9.7,1.1,1.3,13.8,13.8
mixed_width,Compute,100,mixed_width_v2,104,240,129.2,222.0,24.2,-7.5,2.3,1.7,-25.5,25.5
mul,Compute,100,mul,107,323,155.8,277.8,45.6,-14.0,3.0,1.8,-40.9,40.9
nop,Compute,100,nop,105,167,120.0,151.6,14.3,-9.2,1.6,1.3,-20.6,20.6
pushpop,Compute,6,pushpop_v2,55,76,68.8,83.7,25.1,10.1,1.4,1.2,-12.0,12.0
scs_read,Memory,50,scs_read,58,95,104.2,116.3,79.7,22.4,1.6,1.1,-31.9,31.9
scs_store,Memory,50,scs_store,56,127,102.8,138.3,83.6,8.9,2.3,1.3,-40.7,40.7
store,Memory,50,store,57,94,80.6,107.9,41.4,14.8,1.6,1.3,-18.8,18.8
store_burst,Memory,50,store_burst,66,127,81.3,125.3,23.2,-1.3,1.9,1.5,-19.9,19.9
