gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version DEVELOP-FOR-25.1
gem5 compiled Apr  7 2026 19:51:13
gem5 started Apr  7 2026 20:02:43
gem5 executing on cascade, pid 2696922
command line: /scr/studyztp/gem5-binary/roboarch/build/ARM/gem5.opt -re --outdir=/home/studyztp/test_ground/gem5-fix-cache-line-size/gem5/microbenchmarks/gem5-result-art/m5out_entobench_all_bench-fetch_nop32_64 gem5/run_m5op_bench.py --firmware /scr/studyztp/benchmarks/gem5-build/bin/bench-fetch_nop32_64.elf

Global frequency set at 1000000000000 ticks per second
Starting simulation (ROI flags: none)...

*** ROI BEGIN at tick 188765144 ***
=== Benchmark Configuration ===
REPS: zu
INNER_REPS: zu
VERBOSITY: 1
MAX_PROBLEMS: zu
DO_WARMUP: true
ENABLE_CACHES: true
ENABLE_PREFETCH: true
ENABLE_VECTORIZATION: false
H7_PERFORMANCE_MULTIPLIER: zu
===============================
188812200: system.cpu: T0 : 0x80072b2 @_ZL9start_roiv+13    : pop
188812200: system.cpu: T0 : 0x80072b2 @_ZL9start_roiv+13. 0 :   ldr_uop   r3, [sp, #0]   : MemRead :  D=0x0000000000000000 A=0x2001fdf8
188823964: system.cpu: T0 : 0x80072b2 @_ZL9start_roiv+13. 1 :   ldr_uop   r36, [sp, #4]  : MemRead :  D=0x00000000080074b9 A=0x2001fdfc
188823964: system.cpu: T0 : 0x80072b2 @_ZL9start_roiv+13. 2 :   addi_uop   sp, sp, #8    : IntAlu :  D=0x000000002001fe00
188829846: system.cpu: T0 : 0x80072b2 @_ZL9start_roiv+13. 3 :   uopReg_uop   pc, r36     : IntAlu :  D=0x00000000080074b9
188888666: system.cpu: T0 : 0x80074b8 @main+227    :   movs   r4, #10           : IntAlu :  D=0x0000000000000000
188900430: system.cpu: T0 : 0x80074ba @main+229    :   bl.w   <_ZL7end_roiv+23> : IntAlu :  D=0x00000000080074bf
188912194: system.cpu: T0 : 0x80072d0 @_ZL7end_roiv+27    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
188923958: system.cpu: T0 : 0x80072d4 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+3    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
188929840: system.cpu: T0 : 0x80072d8 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+7    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
188935722: system.cpu: T0 : 0x80072dc @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+11    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
188947486: system.cpu: T0 : 0x80072e0 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+15    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
188953368: system.cpu: T0 : 0x80072e4 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+19    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
188959250: system.cpu: T0 : 0x80072e8 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+23    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
188971014: system.cpu: T0 : 0x80072ec @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+27    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
188976896: system.cpu: T0 : 0x80072f0 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+31    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
188982778: system.cpu: T0 : 0x80072f4 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+35    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
188994542: system.cpu: T0 : 0x80072f8 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+39    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
189000424: system.cpu: T0 : 0x80072fc @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+43    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
189006306: system.cpu: T0 : 0x8007300 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+47    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
189018070: system.cpu: T0 : 0x8007304 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+51    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
189023952: system.cpu: T0 : 0x8007308 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+55    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
189029834: system.cpu: T0 : 0x800730c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+59    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
189041598: system.cpu: T0 : 0x8007310 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+63    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
189047480: system.cpu: T0 : 0x8007314 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+67    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
189053362: system.cpu: T0 : 0x8007318 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+71    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
189065126: system.cpu: T0 : 0x800731c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+75    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
189071008: system.cpu: T0 : 0x8007320 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+79    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
189076890: system.cpu: T0 : 0x8007324 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+83    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
189088654: system.cpu: T0 : 0x8007328 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+87    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
189094536: system.cpu: T0 : 0x800732c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+91    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
189100418: system.cpu: T0 : 0x8007330 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+95    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
189112182: system.cpu: T0 : 0x8007334 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+99    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
189118064: system.cpu: T0 : 0x8007338 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+103    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
189123946: system.cpu: T0 : 0x800733c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+107    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
189135710: system.cpu: T0 : 0x8007340 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+111    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
