gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version DEVELOP-FOR-25.1
gem5 compiled Apr  7 2026 19:51:13
gem5 started Apr  7 2026 20:08:15
gem5 executing on cascade, pid 2700696
command line: /scr/studyztp/gem5-binary/roboarch/build/ARM/gem5.opt -re --outdir=/home/studyztp/test_ground/gem5-fix-cache-line-size/gem5/microbenchmarks/gem5-result-noart/m5out_entobench_all_bench-ldr_literal gem5/run_m5op_bench.py --no-art --firmware /scr/studyztp/benchmarks/gem5-build/bin/bench-ldr_literal.elf

Global frequency set at 1000000000000 ticks per second
Starting simulation (ROI flags: none)...

*** ROI BEGIN at tick 239867960 ***
=== Benchmark Configuration ===
REPS: zu
INNER_REPS: zu
VERBOSITY: 1
MAX_PROBLEMS: zu
DO_WARMUP: true
ENABLE_CACHES: true
ENABLE_PREFETCH: true
ENABLE_VECTORIZATION: false
H7_PERFORMANCE_MULTIPLIER: zu
===============================
239938544: system.cpu: T0 : 0x80072b2 @_ZL9start_roiv+13    : pop
239938544: system.cpu: T0 : 0x80072b2 @_ZL9start_roiv+13. 0 :   ldr_uop   r3, [sp, #0]   : MemRead :  D=0x0000000000000000 A=0x2001fdf8
239950308: system.cpu: T0 : 0x80072b2 @_ZL9start_roiv+13. 1 :   ldr_uop   r36, [sp, #4]  : MemRead :  D=0x00000000080074e5 A=0x2001fdfc
239950308: system.cpu: T0 : 0x80072b2 @_ZL9start_roiv+13. 2 :   addi_uop   sp, sp, #8    : IntAlu :  D=0x000000002001fe00
239956190: system.cpu: T0 : 0x80072b2 @_ZL9start_roiv+13. 3 :   uopReg_uop   pc, r36     : IntAlu :  D=0x00000000080074e5
240009128: system.cpu: T0 : 0x80074e4 @main+227    :   movs   r4, #10           : IntAlu :  D=0x0000000000000000
240026774: system.cpu: T0 : 0x80074e6 @main+229    :   bl.w   <_ZL7end_roiv+23> : IntAlu :  D=0x00000000080074eb
240085594: system.cpu: T0 : 0x80072d0 @_ZL7end_roiv+27    :   ldr   r0, [pc, #100]     : MemRead :  D=0x00000000dead0000 A=0x8007338
240097358: system.cpu: T0 : 0x80072d2 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+1    :   ldr   r1, [pc, #104]     : MemRead :  D=0x00000000beef0000 A=0x800733c
240138532: system.cpu: T0 : 0x80072d4 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+3    :   ldr   r0, [pc, #104]     : MemRead :  D=0x00000000dead0001 A=0x8007340
240144414: system.cpu: T0 : 0x80072d6 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+5    :   ldr   r1, [pc, #108]     : MemRead :  D=0x00000000beef0001 A=0x8007344
240185588: system.cpu: T0 : 0x80072d8 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+7    :   ldr   r0, [pc, #108]     : MemRead :  D=0x00000000dead0002 A=0x8007348
240191470: system.cpu: T0 : 0x80072da @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+9    :   ldr   r1, [pc, #112]     : MemRead :  D=0x00000000beef0002 A=0x800734c
240238526: system.cpu: T0 : 0x80072dc @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+11    :   ldr   r0, [pc, #112]     : MemRead :  D=0x00000000dead0003 A=0x8007350
240250290: system.cpu: T0 : 0x80072de @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+13    :   ldr   r1, [pc, #116]     : MemRead :  D=0x00000000beef0003 A=0x8007354
240291464: system.cpu: T0 : 0x80072e0 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+15    :   ldr   r0, [pc, #116]     : MemRead :  D=0x00000000dead0004 A=0x8007358
240303228: system.cpu: T0 : 0x80072e2 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+17    :   ldr   r1, [pc, #120]     : MemRead :  D=0x00000000beef0004 A=0x800735c
240344402: system.cpu: T0 : 0x80072e4 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+19    :   ldr   r0, [pc, #120]     : MemRead :  D=0x00000000dead0005 A=0x8007360
240356166: system.cpu: T0 : 0x80072e6 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+21    :   ldr   r1, [pc, #124]     : MemRead :  D=0x00000000beef0005 A=0x8007364
240397340: system.cpu: T0 : 0x80072e8 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+23    :   ldr   r0, [pc, #124]     : MemRead :  D=0x00000000dead0006 A=0x8007368
