benchmark,art_total_cycles,art_per_call_cycles,art_inner_reps,noart_total_cycles,noart_per_call_cycles,noart_inner_reps
alu,1529.0,152.9,10,2734.0,273.4,10
alu16,1200.0,120.0,10,1516.0,151.6,10
alu16_v2,1290.0,129.0,10,1633.0,163.3,10
alu_v2,1618.0,161.8,10,2853.0,285.3,10
art_cap32_128,180486.0,18048.6,10,327225.0,32722.5,10
art_cap32_256,398054.0,39805.4,10,640422.0,64042.2,10
art_cap32_64,95328.0,9532.8,10,170875.0,17087.5,10
art_cap_1024,1037006.0,103700.6,10,1263898.0,126389.8,10
art_cap_128,137399.0,13739.9,10,170890.0,17089.0,10
art_cap_256,265670.0,26567.0,10,327265.0,32726.5,10
art_cap_32,39267.0,3926.7,10,50657.0,5065.7,10
art_cap_512,526310.0,52631.0,10,640439.0,64043.9,10
art_cap_64,71334.0,7133.4,10,90477.0,9047.7,10
art_capmix_128,266956.0,26695.6,10,483860.0,48386.0,10
art_capmix_256,781696.0,78169.6,10,952339.0,95233.9,10
art_capmix_32,71338.0,7133.8,10,129706.0,12970.6,10
art_capmix_64,138395.0,13839.5,10,249108.0,24910.8,10
art_mix1x3_128,906959.0,90695.9,10,1107548.0,110754.8,10
art_mix1x3_64,309104.0,30910.4,10,562253.0,56225.3,10
art_mix3x1_128,653449.0,65344.9,10,796355.0,79635.5,10
art_mix3x1_64,265696.0,26569.6,10,405419.0,40541.9,10
art_prefetch,2198.0,219.8,10,2734.0,273.4,10
bp_align,14195.0,1419.5,10,22264.0,2226.4,10
bp_alternating,23222.0,2322.2,10,37278.0,3727.8,10
bp_forward,13273.0,1327.3,10,16923.0,1692.3,10
bp_forward_v2,14295.0,1429.5,10,17123.0,1712.3,10
bp_long_body,15197.0,1519.7,10,22181.0,2218.1,10
bp_nested,14195.0,1419.5,10,19440.0,1944.0,10
bp_nested_v2,14670.0,1467.0,10,19558.0,1955.8,10
bp_tight,14190.0,1419.0,10,20259.0,2025.9,10
br_back_0,7157.0,715.7,10,10228.0,1022.8,10
br_back_1,10163.0,1016.3,10,14238.0,1423.8,10
br_back_16,23192.0,2319.2,10,31955.0,3195.5,10
br_back_2,9198.0,919.8,10,13217.0,1321.7,10
br_back_32,39267.0,3926.7,10,50657.0,5065.7,10
br_back_4,11192.0,1119.2,10,16929.0,1692.9,10
br_back_64,71334.0,7133.4,10,90477.0,9047.7,10
br_back_8,15197.0,1519.7,10,22192.0,2219.2,10
br_fwd_0,9207.0,920.7,10,11420.0,1142.0,10
br_fwd_16,14169.0,1416.9,10,18218.0,1821.8,10
br_fwd_2,13215.0,1321.5,10,16918.0,1691.8,10
br_fwd_32,14203.0,1420.3,10,18218.0,1821.8,10
br_fwd_4,14207.0,1420.7,10,18327.0,1832.7,10
br_fwd_8,14204.0,1420.4,10,18218.0,1821.8,10
br_nottaken,16174.0,1617.4,10,24216.0,2421.6,10
branch,7157.0,715.7,10,10228.0,1022.8,10
ccm_sram,1336.0,133.6,10,1692.0,169.2,10
div,2489.0,248.9,10,2607.0,260.7,10
div_short,1159.0,115.9,10,1281.0,128.1,10
dmb,1318.0,131.8,10,1970.0,197.0,10
fetch_interleave_div,1228.0,122.8,10,1807.0,180.7,10
fetch_interleave_mul,1218.0,121.8,10,1855.0,185.5,10
fetch_nop16_128,1480.0,148.0,10,1854.0,185.4,10
fetch_nop16_16,358.0,35.8,10,493.0,49.3,10
fetch_nop16_256,2758.0,275.8,10,3458.0,345.8,10
fetch_nop16_32,520.0,52.0,10,689.0,68.9,10
fetch_nop16_64,840.0,84.0,10,1078.0,107.8,10
fetch_nop16_8,278.0,27.8,10,384.0,38.4,10
fetch_nop32_128,1899.0,189.9,10,3453.0,345.3,10
fetch_nop32_16,409.0,40.9,10,689.0,68.9,10
fetch_nop32_32,619.0,61.9,10,1078.0,107.8,10
fetch_nop32_64,1049.0,104.9,10,1854.0,185.4,10
fetch_nop32_8,299.0,29.9,10,494.0,49.4,10
fetch_seq_16,358.0,35.8,10,494.0,49.4,10
fetch_seq_32,520.0,52.0,10,686.0,68.6,10
fetch_seq_4,238.0,23.8,10,343.0,34.3,10
fetch_seq_8,278.0,27.8,10,384.0,38.4,10
fetch_ws_validate,7157.0,715.7,10,10228.0,1022.8,10
fpu,1432.0,143.2,10,1995.0,199.5,10
icache_miss,41880.0,4188.0,10,50821.0,5082.1,10
inline,,,,156.0,15.6,10
ldr_literal,711.0,71.1,10,2492.0,249.2,10
load,801.0,80.1,10,1000.0,100.0,10
load_dep,1041.0,104.1,10,1305.0,130.5,10
mixed_width,1204.0,120.4,10,2096.0,209.6,10
mixed_width_v2,1292.0,129.2,10,2220.0,222.0,10
mul,1558.0,155.8,10,2778.0,277.8,10
nop,1200.0,120.0,10,1516.0,151.6,10
pushpop,833.0,83.3,10,1031.0,103.1,10
pushpop_v2,688.0,68.8,10,837.0,83.7,10
scs_read,1042.0,104.2,10,1163.0,116.3,10
scs_store,1028.0,102.8,10,1383.0,138.3,10
store,806.0,80.6,10,1079.0,107.9,10
store_burst,813.0,81.3,10,1253.0,125.3,10
