benchmark,category,ops,hw_cp_dual_cycles,hw_none_dual_cycles,gem5_bench_name
alu,Compute,100,107,323,alu_v2
alu16,Compute,100,105,167,alu16_v2
art_prefetch,Cache,200,207,323,art_prefetch
bp_align,Branch,300,608,2211,bp_align
bp_alternating,Branch,200,1207,3420,bp_alternating
bp_forward,Branch,100,607,1817,bp_forward_v2
bp_long_body,Branch,100,1105,2213,bp_long_body
bp_nested,Branch,200,667,2319,bp_nested_v2
bp_tight,Branch,200,605,2013,bp_tight
branch,Branch,100,305,1013,branch
ccm_sram,Memory,100,112,178,ccm_sram
div,Compute,20,247,260,div
div_short,Compute,20,107,120,div_short
dmb,Compute,50,75,222,dmb
fpu,Compute,45,112,196,fpu
icache_miss,Cache,4096,5195,6220,icache_miss
ldr_literal,Memory,50,56,221,ldr_literal
load,Memory,50,58,91,load
load_dep,Memory,50,108,119,load_dep
mixed_width,Compute,100,104,240,mixed_width_v2
mul,Compute,100,107,323,mul
nop,Compute,100,105,167,nop
pushpop,Compute,6,55,76,pushpop_v2
scs_read,Memory,50,58,95,scs_read
scs_store,Memory,50,56,127,scs_store
store,Memory,50,57,94,store
store_burst,Memory,50,66,127,store_burst
